Age,Gender,Occupation,Daily_AI_Usage_Hours,AI_Usage_Purpose,Specialization,AI_Tools_Used,AI_Usage_Frequency,AI_Skill_Level,Device_Used,Data_Privacy_Concern,AI_Trust_Level,Location,Education_Level,Language_Preference,Internet_Speed,AI_Usage_Change_in_6_Months,AI_Affect_on_Productivity,Uses_Paid_AI_Tools,Satisfaction_Level,Can_Live_Without_AI,Task_Complexity,Time_to_Respond_Seconds,Performance (%)
62,Female,Doctor,11,Health,Medicine,Midjourney,Daily,Beginner,Tablet,High,Moderate,Suburban,PhD,English,Slow,Increased,Negative,Yes,10,No,4,72,70
36,Female,Student,10,Daily Life,Education,Other,Sometimes,Intermediate,Mobile,Low,Moderate,Rural,High School,Arabic,Slow,Increased,Neutral,Yes,3,Yes,1,12,85
27,Female,Freelancer,2,Daily Life,Law,Other,Sometimes,Intermediate,Laptop,High,Moderate,Suburban,Master,French,Medium,Increased,Negative,Yes,6,No,2,36,70
58,Female,Designer,8,Entertainment,Engineering,ChatGPT,Often,Beginner,Desktop,Medium,High,Rural,PhD,English,Slow,Increased,Negative,Yes,6,No,2,31,70
64,Female,Student,5,Entertainment,Business,Notion AI,Daily,Advanced,Tablet,Low,Moderate,Urban,High School,Spanish,Medium,Decreased,Neutral,No,7,No,2,41,70
32,Female,Designer,1,Study,Business,Midjourney,Often,Beginner,Mobile,High,Moderate,Rural,PhD,Arabic,Slow,Decreased,Negative,Yes,8,No,2,44,70
22,Female,Freelancer,11,Study,Law,Copilot,Rarely,Beginner,Laptop,Low,Low,Suburban,Bachelor,Spanish,Slow,Decreased,Positive,No,2,Yes,2,43,70
39,Male,Designer,8,Shopping,Medicine,Notion AI,Daily,Beginner,Laptop,Low,Low,Suburban,PhD,English,Medium,Decreased,Negative,No,4,Yes,2,32,70
57,Male,Researcher,6,Daily Life,Law,ChatGPT,Sometimes,Advanced,Laptop,Medium,Moderate,Rural,Master,French,Fast,Same,Positive,No,4,Yes,2,30,85
25,Male,Freelancer,5,Entertainment,Computer Science,Notion AI,Rarely,Beginner,Desktop,High,Low,Suburban,PhD,Spanish,Fast,Increased,Positive,Yes,7,No,2,50,70
